ORG_CODE,School Code,DIST_NAME,SCH_NAME,STUDENTS_ENROLLED,AA,AS,HI,MR,NA,NH_PI,WH,EcoDis,SWD,ELL,FEMALE,MALE,NONBINARY
9,90505,Andover,Andover High,41,1,14,1,2,0,0,23,1,0,0,4,37,0
10,100505,Arlington,Arlington High,17,0,1,1,1,0,1,13,1,1,0,2,15,0
14,140505,Ashland,Ashland High,23,0,1,1,0,0,0,21,0,1,0,4,19,0
20,200505,Barnstable,Barnstable High,20,0,4,3,0,0,0,13,4,0,0,3,17,0
23,230505,Bedford,Bedford High,4,, , , , , , , , , , , , 
24,240505,Belchertown,Belchertown High,15,0,2,0,0,0,0,13,0,0,0,1,14,0
30,300505,Beverly,Beverly High,5, , , , , , , , , , , , , 
31,310505,Billerica,Billerica Memorial High School,9,1,2,0,0,0,0,6,0,0,0,2,7,0
40,400505,Braintree,Braintree High,14,0,9,1,0,0,0,4,2,0,0,9,5,0
44,440505,Brockton,Brockton High,19,11,0,3,0,0,0,5,7,0,0,7,12,0
46,460505,Brookline,Brookline High,8,0,2,0,0,0,0,6,0,0,0,1,7,0
48,480505,Burlington,Burlington High,24,0,9,2,1,0,0,12,1,0,1,2,22,0
49,490506,Cambridge,Cambridge Rindge and Latin,20,3,6,2,2,0,0,7,4,1,0,5,15,0
56,560505,Chelmsford,Chelmsford High,48,1,11,2,1,0,0,33,5,1,1,12,36,0
61,610510,Chicopee,Chicopee Comprehensive High School,2, , , , , , , , , , , , , 
71,710505,Danvers,Danvers High,2, , , , , , , , , , , , , 
72,720505,Dartmouth,Dartmouth High,4, , , , , , , , , , , , , 
73,730505,Dedham,Dedham High,6,0,1,0,0,0,0,5,0,0,0,1,5,0
82,820505,Duxbury,Duxbury High,9,0,1,0,0,0,0,8,0,0,0,1,8,0
87,870505,East Longmeadow,East Longmeadow High,9,1,4,0,0,0,0,4,0,1,0,3,6,0
95,950505,Fall River,B M C Durfee High,25,4,5,1,3,0,0,12,11,0,0,10,15,0
100,1000515,Framingham,Framingham High School,12,0,4,0,1,0,0,7,0,0,0,1,11,0
101,1010505,Franklin,Franklin High,64,1,10,2,4,0,0,47,3,0,0,12,52,0
107,1070505,Gloucester,Gloucester High,9,1,0,0,0,0,0,8,2,0,0,1,8,0
110,1100505,Grafton,Grafton High School,5, , , , , , , , , , , , , 
111,1110505,Granby,Granby Jr Sr High School,11,0,2,0,1,0,0,8,2,0,0,2,9,0
128,1280505,Haverhill,Haverhill High,14,0,0,1,0,0,0,13,2,3,0,2,12,0
136,1360505,Holliston,Holliston High,2, , , , , , , , , , , , , 
138,1380505,Hopedale,Hopedale Jr Sr High,1, , , , , , , , , , , , , 
139,1390505,Hopkinton,Hopkinton High,40,0,10,0,0,0,0,30,0,1,0,10,30,0
144,1440505,Ipswich,Ipswich High,15,0,2,0,3,0,0,10,1,0,0,8,7,0
150,1500505,Lee,Lee Middle/High School,4, , , , , , , , , , , , , 
153,1530505,Leominster,Leominster High School,7,0,1,1,0,0,0,5,0,0,0,2,5,0
155,1550505,Lexington,Lexington High,43,0,24,1,3,0,0,15,3,1,1,4,39,0
158,1580505,Littleton,Littleton High School,18,0,1,0,0,0,0,17,1,4,0,1,17,0
159,1590505,Longmeadow,Longmeadow High,19,0,1,0,0,0,0,18,0,0,0,2,17,0
161,1610505,Ludlow,Ludlow Senior High,13,1,0,0,0,0,0,12,4,0,0,4,9,0
171,1710505,Marshfield,Marshfield High,21,0,0,0,0,0,0,21,3,1,0,1,20,0
175,1750505,Medfield,Medfield Senior High,3, , , , , , , , , , , , , 
177,1770505,Medway,Medway High,10,0,0,0,0,0,0,10,0,0,0,1,9,0
178,1780505,Melrose,Melrose High,18,4,2,1,1,0,0,10,3,0,3,3,15,0
189,1890505,Milton,Milton High,25,1,2,2,0,0,0,20,3,0,0,11,14,0
198,1980505,Natick,Natick High,43,2,8,0,2,0,0,31,2,1,1,15,28,0
199,1990505,Needham,Needham High,25,1,6,3,0,0,0,15,1,1,0,4,21,0
201,2010505,New Bedford,New Bedford High,15,1,1,3,2,0,0,8,3,0,0,6,9,0
204,2040505,Newburyport,Newburyport High,1, , , , , , , , , , , , , 
212,2120505,North Attleborough,North Attleboro High,21,0,4,0,1,0,0,16,2,0,0,4,17,0
217,2170505,North Reading,North Reading High,7,0,1,0,0,0,0,6,0,0,0,0,7,0
229,2290510,Peabody,Peabody Veterans Memorial High,19,1,3,1,0,0,0,14,0,0,0,2,17,0
231,2310505,Pembroke,Pembroke High School,48,0,0,0,0,0,1,47,4,1,0,7,41,0
236,2360505,Pittsfield,Pittsfield High,13,0,1,0,0,0,0,12,1,2,0,2,11,0
236,2360510,Pittsfield,Taconic High,18,2,0,0,1,0,0,15,5,1,0,4,14,0
239,2390505,Plymouth,Plymouth North High,16,0,0,0,0,0,0,16,0,0,0,3,13,0
239,2390515,Plymouth,Plymouth South High,7,0,1,0,1,0,0,5,0,0,0,1,6,0
243,2430505,Quincy,Quincy High,22,1,12,2,0,0,0,7,5,0,0,9,13,0
243,2430510,Quincy,North Quincy High,12,0,9,0,0,0,0,3,3,0,0,2,10,0
246,2460505,Reading,Reading Memorial High,36,0,3,0,1,0,0,32,2,1,0,6,30,0
248,2480505,Revere,Revere High,13,0,4,6,0,0,0,3,5,0,0,2,11,0
261,2610505,Sandwich,Sandwich High,8,0,1,0,0,0,0,7,0,0,0,1,7,0
262,2620505,Saugus,Saugus High,19,0,1,4,0,0,0,14,2,1,0,2,17,0
264,2640505,Scituate,Scituate High School,22,0,0,0,0,0,0,22,1,2,0,5,17,0
266,2660505,Sharon,Sharon High,48,1,22,2,1,0,0,22,0,2,0,12,36,0
274,2740505,Somerville,Somerville High,18,1,7,5,1,0,0,4,4,1,1,5,13,0
278,2780505,South Hadley,South Hadley High,6,0,0,0,0,0,0,6,2,1,0,0,6,0
281,2810500,Springfield,Springfield Central High,26,4,6,8,0,0,0,8,9,0,0,6,20,0
281,2810620,Springfield,Roger L. Putnam Vocational Technical Academy,23,5,0,13,0,0,0,5,8,1,0,6,17,0
285,2850505,Stoughton,Stoughton High,9,3,1,0,0,0,0,5,2,0,0,1,8,0
292,2920505,Swansea,Joseph Case High,15,0,1,0,0,0,0,14,2,0,0,3,12,0
293,2930505,Taunton,Taunton High,36,2,1,0,0,0,0,33,4,0,0,5,31,0
305,3050505,Wakefield,Wakefield Memorial High,21,0,5,0,0,0,0,16,2,0,0,5,16,0
307,3070505,Walpole,Walpole High,5, , , , , , , , , , , , , 
