School Code,District,School Name,# STUDENTS ENROLLED ,# STUDENTS ENROLLED PRIOR TO SECONDARY LEVEL,# STUDENTS ENROLLED AT SECONDARY LEVEL
10015,Abington,Woodsdale Elementary School,2,2,0
10020,Abington,Beaver Brook Elementary,3,3,0
10405,Abington,Abington Middle School,348,348,0
10505,Abington,Abington High,25,0,25
30025,Acushnet,Acushnet Elementary School,105,105,0
30305,Acushnet,Albert F Ford Middle School,407,407,0
50010,Agawam,Clifford M Granger,1,1,0
50020,Agawam,Benjamin J Phelps,3,3,0
50025,Agawam,Robinson Park,2,2,0
50030,Agawam,James Clark School,2,2,0
50303,Agawam,Roberta G. Doering School,555,555,0
50405,Agawam,Agawam Junior High,230,230,0
50505,Agawam,Agawam High,73,0,73
70005,Amesbury,Amesbury Elementary,289,289,0
70010,Amesbury,Charles C Cashman Elementary,339,339,0
70013,Amesbury,Amesbury Middle,381,381,0
70505,Amesbury,Amesbury High,125,0,125
70515,Amesbury,Amesbury Innovation High School,1,0,1
80009,Amherst,Crocker Farm Elementary,352,352,0
80020,Amherst,Fort River Elementary,332,332,0
80050,Amherst,Wildwood Elementary,398,398,0
90505,Andover,Andover High,341,0,341
100410,Arlington,Ottoson Middle,1242,1242,47
100505,Arlington,Arlington High,99,0,99
140010,Ashland,Henry E Warren Elementary,615,615,0
140015,Ashland,David Mindess,642,642,0
140405,Ashland,Ashland Middle,3,3,0
140505,Ashland,Ashland High,168,0,168
160001,Attleboro,A. Irvin Studley Elementary School,384,384,0
160035,Attleboro,Thomas Willett Elementary School,409,409,0
160040,Attleboro,Hyman Fine Elementary School,475,475,0
160045,Attleboro,Hill-Roberts Elementary School,460,460,0
160050,Attleboro,Peter Thacher Elementary School,429,429,0
160505,Attleboro,Attleboro High,80,0,80
160515,Attleboro,Attleboro Community Academy,11,0,11
170030,Auburn,Swanson Road Intermediate School,2,2,0
170305,Auburn,Auburn Middle,216,216,0
170505,Auburn,Auburn Senior High,192,0,192
180010,Avon,Ralph D Butler,230,230,0
180510,Avon,Avon Middle High School,109,64,45
200005,Barnstable,West Barnstable Elementary,1,1,0
200010,Barnstable,Centerville Elementary,3,3,0
200025,Barnstable,Hyannis West Elementary,5,5,0
200045,Barnstable,West Villages Elementary School,5,5,0
200050,Barnstable,Barnstable United Elementary School,1,1,0
200315,Barnstable,Barnstable Intermediate School,637,637,0
200505,Barnstable,Barnstable High,36,2,36
230010,Bedford,Lt Elezer Davis,1,1,0
230305,Bedford,John Glenn Middle,2,2,0
230505,Bedford,Bedford High,118,0,118
240025,Belchertown,Jabish Middle School,365,365,0
240505,Belchertown,Belchertown High,185,0,185
250020,Bellingham,Joseph F DiPietro Elementary School,2,2,0
250025,Bellingham,Stall Brook,1,1,0
250315,Bellingham,Bellingham Memorial School,355,355,0
250505,Bellingham,Bellingham High School,320,177,143
260005,Belmont,Winn Brook,1,1,0
260305,Belmont,Winthrop L Chenery Middle,2,2,0
260505,Belmont,Belmont High,139,0,139
270010,Berkley,Berkley Community School,217,217,0
270305,Berkley,Berkley Middle School,381,381,0
280005,Berlin,Berlin Memorial,82,82,0
300015,Beverly,Cove Elementary,3,3,0
300033,Beverly,Hannah Elementary,1,1,0
300040,Beverly,North Beverly Elementary,1,1,0
300305,Beverly,Beverly Middle School,964,964,0
300505,Beverly,Beverly High,109,0,109
310005,Billerica,Thomas Ditson,522,522,0
310007,Billerica,Frederick J Dutile,273,273,0
310012,Billerica,John F Kennedy,311,311,0
310015,Billerica,Parker,486,486,0
310026,Billerica,Hajjar Elementary,455,455,0
310030,Billerica,Eugene C Vining,191,191,0
310305,Billerica,Marshall Middle School,427,427,0
310310,Billerica,Locke Middle,332,332,0
310505,Billerica,Billerica Memorial High School,172,0,172
350004,Boston,Lyon K-8,115,115,0
350009,Boston,East Boston Early Childhood Center,1,1,0
350013,Boston,Jackson Mann,418,417,1
350021,Boston,Beethoven,283,283,0
350052,Boston,Charles Sumner,503,503,0
350062,Boston,Curtis Guild,1,1,0
350072,Boston,David A Ellis,378,378,0
350074,Boston,Dearborn,155,149,6
350077,Boston,Dennis C Haley,1,0,1
350080,Boston,Donald Mckay,388,387,1
350096,Boston,Eliot Elementary,493,493,0
350116,Boston,Franklin D Roosevelt,43,43,0
350122,Boston,George H Conley,89,89,0
350135,Boston,Henry Grew,238,238,0
350141,Boston,Hugh Roe O'Donnell,243,243,0
350146,Boston,Condon K-8,5,5,0
350153,Boston,James W Hennigan,326,324,2
350156,Boston,James Otis,338,338,0
350167,Boston,UP Academy Holland,4,4,0
350172,Boston,John D Philbrick,129,129,0
350179,Boston,John W McCormack,17,15,2
350183,Boston,Joseph Lee,41,41,0
350190,Boston,Joyce Kilmer,1,0,1
350200,Boston,Harvard-Kent,419,419,0
350215,Boston,Manassah E Bradley,252,252,0
350227,Boston,Mather,541,541,0
350229,Boston,Maurice J Tobin,257,257,0
350231,Boston,Michael J Perkins,210,210,0
350237,Boston,Mozart,24,24,0
350240,Boston,Richard J Murphy,508,508,0
350243,Boston,Nathan Hale,136,136,0
350255,Boston,Oliver Hazard Perry,172,172,0
350258,Boston,William H Ohrenberger,658,657,1
350262,Boston,Lyndon,215,215,0
350268,Boston,Paul A Dever,291,291,0
350278,Boston,Phineas Bates,37,37,0
350286,Boston,Josiah Quincy,677,677,0
350302,Boston,Samuel Adams,242,242,0
350304,Boston,Samuel W Mason,40,40,0
350308,Boston,Sarah Greenwood,420,420,0
350346,Boston,Warren-Prescott,112,112,0
350360,Boston,William Ellery Channing,183,183,0
350363,Boston,William McKinley,58,58,0
350370,Boston,William Monroe Trotter,462,462,0
350374,Boston,Winship Elementary,160,160,0
350376,Boston,King K-8,261,260,1
350377,Boston,Higginson/Lewis K-8,1,0,1
350378,Boston,Mildred Avenue K-8,2,0,2
350380,Boston,Young Achievers,192,192,0
350382,Boston,Mission Hill School,2,2,0
350383,Boston,Lilla G. Frederick Middle School,2,0,2
350390,Boston,Blackstone,418,418,0
350426,Boston,Dr. William Henderson Upper,469,404,100
