School Name,School Code,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,% Score 1-2,% Score 3-5
Abington - Abington High,10505,1,,,,,,,
Acton-Boxborough - Acton-Boxborough Regional High,6000505,51,0,0,8,15,28,0,100
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,54,3,5,12,15,19,15,85
Amherst-Pelham - Amherst Regional High,6050505,5,,,,,,,
Andover - Andover High,90505,38,0,1,6,9,22,3,97
Arlington - Arlington High,100505,14,3,2,1,4,4,36,64
Ashland - Ashland High,140505,3,,,,,,,
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,1,,,,,,,
Attleboro - Attleboro High,160505,15,9,2,2,1,1,73,27
Auburn - Auburn Senior High,170505,16,8,2,6,0,0,63,38
Barnstable - Barnstable High,200505,26,18,4,4,0,0,85,15
Bedford - Bedford High,230505,5,,,,,,,
Belchertown - Belchertown High,240505,8,,,,,,,
Belmont - Belmont High,260505,1,,,,,,,
Beverly - Beverly High,300505,1,,,,,,,
Billerica - Billerica Memorial High School,310505,12,0,1,1,3,7,8,92
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,5,,,,,,,
Blackstone-Millville - Blackstone Millville RHS,6220505,2,,,,,,,
Boston - Boston Latin,350560,79,2,7,22,23,25,11,89
Boston - Boston Latin Academy,350545,29,12,8,6,2,1,69,31
Boston - East Boston High,350530,20,16,1,2,1,0,85,15
Braintree - Braintree High,400505,9,,,,,,,
Bridgewater-Raynham - Bridgewater-Raynham Regional,6250505,12,2,1,7,2,0,25,75
Brookline - Brookline High,460505,2,,,,,,,
Burlington - Burlington High,480505,13,0,1,4,4,4,8,92
Cambridge - Cambridge Rindge and Latin,490506,37,4,2,11,13,7,16,84
Canton - Canton High,500505,1,,,,,,,
Chelmsford - Chelmsford High,560505,13,4,4,3,0,2,62,39
Chicopee - Chicopee Comprehensive High School,610510,5,,,,,,,
Concord-Carlisle - Concord Carlisle High,6400505,19,1,3,4,5,6,21,79
Dartmouth - Dartmouth High,720505,12,2,3,3,2,2,42,58
Dedham - Dedham High,730505,9,,,,,,,
Dennis-Yarmouth - Dennis-Yarmouth Regional High,6450505,13,5,6,2,0,0,85,15
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,6500505,5,,,,,,,
Dover-Sherborn - Dover-Sherborn Regional High,6550505,1,,,,,,,
Dudley-Charlton Reg - Shepherd Hill Regional High,6580505,12,6,1,1,3,1,58,42
Duxbury - Duxbury High,820505,12,5,1,1,3,2,50,50
East Bridgewater - East Bridgewater JR./SR. High School,830505,1,,,,,,,
East Longmeadow - East Longmeadow High,870505,13,2,2,3,6,0,31,69
Fall River - B M C Durfee High,950505,14,5,2,2,3,2,50,50
Falmouth - Falmouth High,960505,1,,,,,,,
Foxborough - Foxborough High,990505,3,,,,,,,
Foxborough Regional Charter (District) - Foxborough Regional Charter School,4460550,3,,,,,,,
Framingham - Framingham High School,1000515,13,0,1,0,2,10,8,92
Franklin - Franklin High,1010505,22,7,3,6,3,3,46,55
Franklin County Regional Vocational Technical - Franklin County Technical,8180605,11,10,0,0,1,0,91,9
Freetown-Lakeville - Apponequet Regional High,6650505,1,,,,,,,
Frontier - Frontier Regional,6700505,1,,,,,,,
Gloucester - Gloucester High,1070505,16,10,3,2,1,0,81,19
Grafton - Grafton High School,1100505,17,1,2,10,2,2,18,82
Granby - Granby Jr Sr High School,1110505,1,,,,,,,
Greenfield - Greenfield High,1140505,1,,,,,,,
Groton-Dunstable - Groton Dunstable Regional,6730505,4,,,,,,,
Hadley - Hopkins Academy,1170505,2,,,,,,,
Hamilton-Wenham - Hamilton-Wenham Regional High,6750505,11,3,1,3,2,2,36,64
