ORG_CODE,SCHOOL,DIST_NAME,SCH_NAME,STUDENTS_ENROLLED,AA,AS,HI,MR,NA,NH_PI,WH,EcoDis,SWD,ELL,FEMALE,MALE,NONBINARY,SCH_NAME,primary,secondary,SY
0009,00090505,Andover,Andover High,39,1,17,0,1,0,0,20,1,2,0,6,33,0,Andover High,0,341,2018
0010,00100505,Arlington,Arlington High,17,0,6,0,0,0,0,11,0,1,0,2,15,0,Arlington High,0,99,2018
0014,00140505,Ashland,Ashland High,26,0,6,0,0,0,0,20,0,1,0,9,17,0,Ashland High,0,168,2018
0016,00160505,Attleboro,Attleboro High,17,1,0,0,2,0,0,14,1,0,0,3,14,0,Attleboro High,0,80,2018
0017,00170505,Auburn,Auburn Senior High,10,0,1,0,0,0,0,9,0,0,0,2,8,0,Auburn Senior High,0,192,2018
0020,00200505,Barnstable,Barnstable High,21,2,3,2,2,0,0,12,4,0,0,3,18,0,Barnstable High,2,36,2018
0023,00230505,Bedford,Bedford High,4, , , , , , , , , , , , , ,Bedford High,0,118,2018
0024,00240505,Belchertown,Belchertown High,32,1,2,0,0,0,0,29,0,0,0,5,27,0,Belchertown High,0,185,2018
0030,00300505,Beverly,Beverly High,1, , , , , , , , , , , , , ,Beverly High,0,109,2018
0031,00310505,Billerica,Billerica Memorial High School,6,0,0,0,0,0,0,6,0,0,0,2,4,0,Billerica Memorial High School,0,172,2018
0040,00400505,Braintree,Braintree High,34,1,19,1,0,0,0,13,4,0,2,9,25,0,Braintree High,0,49,2018
0044,00440505,Brockton,Brockton High,61,35,7,6,2,1,0,10,22,0,0,22,39,0,Brockton High,0,1411,2018
0046,00460505,Brookline,Brookline High,17,0,3,0,1,0,0,13,0,0,0,3,14,0,Brookline High,0,158,2018
0048,00480505,Burlington,Burlington High,17,1,4,0,2,0,0,10,1,0,0,3,14,0,Burlington High,0,135,2018
