SY,ORG_CODE,SCHOOL,DIST_NAME,SCH_NAME,STUDENTS_ENROLLED,# OF TEST_TAKERS,PCT,AA,AS,HI,MR,NA,NH_PI,WH,ECODIS,SWD,ELL,FEMALE,MALE,SCH_NAME,prior secondary,secondary level,AP1,AP2,AP3,AP4,AP5
2016,0009,00090505,Andover,Andover High,39,38,97.43589744,1,11,1,2,0,0,24,0,0,0,9,30,Andover High,0,303,0,1,6,9,22
2016,0010,00100505,Arlington,Arlington High,14,13,92.85714286,0,2,1,0,0,0,11,1,0,0,1,13,Arlington High,0,89,3,2,1,3,4
2016,0016,00160505,Attleboro,Attleboro High,13,13,100,1,1,1,0,0,0,10,2,1,0,0,13,Attleboro High,0,45,8,1,2,1,1
2016,0017,00170505,Auburn,Auburn Senior High,17,16,94.11764706,0,1,2,0,0,0,14,2,0,0,1,16,Auburn Senior High,0,116,8,2,6,0,0
2016,0020,00200505,Barnstable,Barnstable High,23,23,100,0,7,0,0,0,0,16,2,0,0,2,21,Barnstable High,0,23,17,3,3,0,0
2016,0023,00230505,Bedford,Bedford High,5,4,***,***,***,***,***,***,***,***,***,***,***,***,***,Bedford High,0,168,***,***,***,***,***
2016,0031,00310505,Billerica,Billerica Memorial High School,12,12,100,0,3,0,0,0,0,9,1,0,0,0,12,Billerica Memorial High School,0,212,0,1,1,3,7
2016,0040,00400505,Braintree,Braintree High,11,9,81.81818182,0,8,0,0,0,0,3,3,0,1,5,6,Braintree High,0,24,1,0,3,3,2
2016,0048,00480505,Burlington,Burlington High,11,10,90.90909091,0,3,3,0,0,0,5,2,0,1,0,11,Burlington High,0,169,0,1,2,3,4
2016,0049,00490506,Cambridge,Cambridge Rindge and Latin,103,37,35.9223301,15,19,6,4,0,0,59,15,1,1,37,66,Cambridge Rindge and Latin,0,254,4,2,11,13,7
2016,0056,00560505,Chelmsford,Chelmsford High,43,12,27.90697674,0,9,1,1,0,0,32,0,1,0,10,33,Chelmsford High,0,177,3,4,3,0,2
2016,0061,00610510,Chicopee,Chicopee Comprehensive High School,5,5,***,***,***,***,***,***,***,***,***,***,***,***,***,Chicopee Comprehensive High School,0,172,***,***,***,***,***
