ORG_CODE,SCHOOL,DIST_NAME,SCH_NAME,STUDENTS_ENROLLED,AA,AS,HI,MR,NA,NH_PI,WH,EcoDis,SWD,ELL,FEMALE,MALE,NONBINARY,SCHOOL,primary,secondary,SY,AP1,AP2,AP3,AP4,AP5
0009,00090505,Andover,Andover High,41,1,14,1,2,0,0,23,1,0,0,4,37,0,00090505,0,181,2017,2,4,17,30,96
0010,00100505,Arlington,Arlington High,17,0,1,1,1,0,1,13,1,1,0,2,15,0,00100505,0,116,2017,6,21,45,66,64
0014,00140505,Ashland,Ashland High,23,0,1,1,0,0,0,21,0,1,0,4,19,0,00140505,0,119,2017,1,2,10,32,62
0020,00200505,Barnstable,Barnstable High,20,0,4,3,0,0,0,13,4,0,0,3,17,0,00200505,0,21,2017,33,25,34,20,28
0023,00230505,Bedford,Bedford High,4, , , , , , , , , , , , , ,00230505,0,143,2017,0,1,10,13,28
0024,00240505,Belchertown,Belchertown High,15,0,2,0,0,0,0,13,0,0,0,1,14,0,00240505,0,193,2017,0,3,13,13,10
0030,00300505,Beverly,Beverly High,5, , , , , , , , , , , , , ,00300505,0,103,2017,14,15,24,6,6
0031,00310505,Billerica,Billerica Memorial High School,9,1,2,0,0,0,0,6,0,0,0,2,7,0,00310505,0,202,2017,3,14,17,8,19
0040,00400505,Braintree,Braintree High,14,0,9,1,0,0,0,4,2,0,0,9,5,0,00400505,0,60,2017,4,16,27,29,40
0044,00440505,Brockton,Brockton High,19,11,0,3,0,0,0,5,7,0,0,7,12,0,00440505,0,462,2017,42,42,15,5,5
0046,00460505,Brookline,Brookline High,8,0,2,0,0,0,0,6,0,0,0,1,7,0,00460505,0,129,2017,1,13,42,67,150
0048,00480505,Burlington,Burlington High,24,0,9,2,1,0,0,12,1,0,1,2,22,0,00480505,0,116,2017,17,32,31,11,8
0049,00490506,Cambridge,Cambridge Rindge and Latin,20,3,6,2,2,0,0,7,4,1,0,5,15,0,00490506,0,103,2017,15,25,68,53,62
0056,00560505,Chelmsford,Chelmsford High,48,1,11,2,1,0,0,33,5,1,1,12,36,0,00560505,0,125,2017,6,18,34,44,28
0061,00610510,Chicopee,Chicopee Comprehensive High School,2, , , , , , , , , , , , , ,00610510,0,183,2017,17,23,16,0,2
0071,00710505,Danvers,Danvers High,2, , , , , , , , , , , , , ,00710505,0,268,2017,7,20,33,27,14
0072,00720505,Dartmouth,Dartmouth High,4, , , , , , , , , , , , , ,00720505,0,18,2017,14,17,19,9,6
0073,00730505,Dedham,Dedham High,6,0,1,0,0,0,0,5,0,0,0,1,5,0,00730505,0,52,2017,16,11,26,18,5
0082,00820505,Duxbury,Duxbury High,9,0,1,0,0,0,0,8,0,0,0,1,8,0,00820505,0,37,2017,4,10,30,26,16
0087,00870505,East Longmeadow,East Longmeadow High,9,1,4,0,0,0,0,4,0,1,0,3,6,0,00870505,0,139,2017,0,1,4,3,23
0095,00950505,Fall River,B M C Durfee High,25,4,5,1,3,0,0,12,11,0,0,10,15,0,00950505,0,156,2017,31,37,27,14,7
0100,01000515,Framingham,Framingham High School,12,0,4,0,1,0,0,7,0,0,0,1,11,0,01000515,0,188,2017,3,20,53,69,70
0101,01010505,Franklin,Franklin High,64,1,10,2,4,0,0,47,3,0,0,12,52,0,01010505,10,163,2017,21,39,54,58,75
0107,01070505,Gloucester,Gloucester High,9,1,0,0,0,0,0,8,2,0,0,1,8,0,01070505,0,195,2017,10,8,7,17,1
0110,01100505,Grafton,Grafton High School,5, , , , , , , , , , , , , ,01100505,0,70,2017,3,3,10,17,16
0111,01110505,Granby,Granby Jr Sr High School,11,0,2,0,1,0,0,8,2,0,0,2,9,0,01110505,130,52,2017,0,2,6,1,1
